TeacherID,DateOfBirth,FirstName,LastName,Gender,Phone,Address
T001,1980-01-01,John,Doe,Male,1234567890,123 Main St
T002,1981-02-02,Jane,Smith,Female,2345678901,234 Elm St
T003,1982-03-03,Jim,Brown,Male,3456789012,345 Oak St
T004,1983-04-04,Jill,Johnson,Female,4567890123,456 Pine St
T005,1984-05-05,Joe,Williams,Male,5678901234,567 Maple St
T006,1985-06-06,Jenny,Jones,Female,6789012345,678 Cedar St
T007,1986-07-07,Jack,Davis,Male,7890123456,789 Birch St
T008,1987-08-08,Jessica,Miller,Female,8901234567,890 Walnut St
T009,1988-09-09,Jeff,Taylor,Male,9012345678,901 Spruce St
T010,1989-10-10,Jasmine,Anderson,Female,0123456789,1010 Cherry St

